delta_v (RPM),w (rad/s),v_x (m/s)
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.055,0.0010472,0
0.00916667,0.000174533,0.0149261
0.375833,0.00715585,0.0170584
0.6875,0.01309,0.0234553
0,0,0.0255876
0.77,-0.0146608,0.0298522
1.98,0.0376991,0.0298522
0.935,-0.0178024,0.0277199
1.22833,-0.0233874,0.0341168
2.18167,0.0415388,0.0298522
0.715,-0.0136136,0.0298522
1.155,-0.0219911,0.0341168
2.15417,0.0410152,0.0319845
1.53083,-0.029147,0.0341168
0.595833,0.0113446,0.0383814
0.916667,-0.0174533,0.0319845
0.1925,0.00366519,0.0362491
2.38333,0.0453786,0.0319845
1.49417,-0.0284489,0.0319845
0.623333,0.0118682,0.0383814
0.339167,0.00645772,0.0319845
1.41167,-0.0268781,0.0405137
2.76833,0.0527089,0.0362491
2.2825,-0.0434587,0.0383814
0.559167,0.0106465,0.0405137
1.045,-0.0198968,0.0383814
0.999167,-0.0190241,0.042646
1.47583,0.0280998,0.0405137
0.751667,-0.0143117,0.0405137
1.54917,0.0294961,0.0362491
2.23667,-0.042586,0.0341168
0.495,0.00942478,0.0405137
0.476667,0.00907571,0.0405137
0.2475,0.00471239,0.0447783
1.77833,0.0338594,0.042646
0.669167,-0.0127409,0.042646
1.52167,0.0289725,0.0469106
0.650833,-0.0123918,0.042646
1.52167,0.0289725,0.042646
0.935,-0.0178024,0.0383814
1.7325,0.0329867,0.0447783
1.43,-0.0272271,0.0383814
0.889167,0.0169297,0.0447783
0.476667,-0.00907571,0.0362491
0.33,-0.00628319,0.0469106
0.531667,0.0101229,0.042646
1.22833,-0.0233874,0.0447783
2.5575,0.0486947,0.0469106
0.201667,-0.00383972,0.049043
2.0625,0.0392699,0.042646
0.055,-0.0010472,0.0469106
1.595,0.0303687,0.0469106
1.595,0.0303687,0.0469106
0.366667,-0.00698132,0.0511753
0.174167,-0.00331613,0.0554399
0.265833,0.00506145,0.0511753
0.449167,-0.00855211,0.049043
0.0916667,-0.00174533,0.049043
1.8425,0.0350811,0.0405137
1.90667,-0.0363028,0.0405137
1.90667,-0.0363028,0.0405137
1.69583,-0.0322886,0.0447783
1.375,0.0261799,0.0405137
1.88833,-0.0359538,0.0405137
1.88833,-0.0359538,0.0405137
2.16333,-0.0411898,0.042646
2.41083,0.0459022,0.0405137
1.68667,-0.0321141,0.0447783
2.31,0.0439823,0.0405137
1.79667,-0.0342085,0.0469106
1.79667,-0.0342085,0.0469106
1.6775,-0.0319395,0.0533076
2.59417,0.0493928,0.0469106
1.87,-0.0356047,0.049043
0.1375,-0.00261799,0.0469106
0.119167,-0.00226893,0.0533076
0.119167,-0.00226893,0.0533076
1.13667,-0.0216421,0.0511753
0.935,-0.0178024,0.0511753
0.1925,-0.00366519,0.0533076
1.8975,-0.0361283,0.0511753
1.86083,0.0354302,0.0533076
1.6775,-0.0319395,0.0405137
2.48417,0.0472984,0.0234553
0.99,-0.0188496,-0.0021323
0.605,0.0115192,0.0021323
0.1925,0.00366519,0.0149261
6.50833,0.123918,0.0319845
12.5767,0.239459,0.0298522
12.65,0.240855,0.0298522
9.05667,0.172439,0.0298522
14.2817,0.271922,0.0298522
10.835,0.206298,0.0319845
10.6975,0.20368,0.0319845
13.1817,0.250978,0.0298522
9.79917,0.186576,0.0341168
11.5042,0.219039,0.0341168
16.0783,0.306131,0.0319845
10.3033,0.196175,0.0362491
13.2367,0.252026,0.0362491
13.3925,0.254993,0.0341168
9.45083,0.179943,0.0341168
15.2258,0.289899,0.0277199
13.5117,0.257262,0.0362491
11.9992,0.228464,0.0362491
12.5308,0.238587,0.0341168
13.2183,0.251676,0.0362491
3.41917,0.0651008,0.0341168
2.53917,0.0483456,0.0405137
1.22833,0.0233874,0.0341168
0.3575,-0.00680678,0.0362491
0.4125,0.00785398,0.0362491
0.815833,0.0155334,0.0362491
1.65917,-0.0315905,0.0405137
1.9525,0.0371755,0.042646
0.5225,0.00994838,0.0383814
1.6225,0.0308923,0.0383814
1.72333,0.0328122,0.0405137
1.0725,0.0204204,0.0447783
3.06167,0.058294,0.0405137
0.806667,-0.0153589,0.0447783
2.46583,0.0469494,0.042646
0.623333,-0.0118682,0.0447783
2.51167,0.047822,0.042646
1.43917,-0.0274017,0.0469106
2.65833,0.0506145,0.0405137
3.61167,0.068766,0.049043
9.74417,0.185528,0.042646
16.5917,0.315905,0.0405137
11.1192,0.211708,0.0469106
12.595,0.239808,0.042646
14.4008,0.274191,0.0469106
13.6125,0.259181,0.042646
10.7067,0.203854,0.0447783
7.59917,0.144688,0.0405137
7.27833,0.138579,0.049043
1.65,-0.0314159,0.042646
0.256667,-0.00488692,0.0469106
0.6875,0.01309,0.0533076
0.6875,0.01309,0.0533076
0.559167,-0.0106465,0.0533076
0.348333,0.00663225,0.0469106
0.174167,0.00331613,0.0554399
0.999167,0.0190241,0.049043
0.0641667,0.00122173,0.0533076
0.779167,-0.0148353,0.0447783
0.779167,-0.0148353,0.0447783
0.495,0.00942478,0.042646
0.11,0.0020944,0.049043
0.201667,0.00383972,0.0405137
0.99,0.0188496,0.049043
0.9075,0.0172788,0.042646
0.540833,0.0102974,0.0533076
0.485833,0.00925025,0.049043
0.210833,-0.00401426,0.0533076
0.760833,0.0144862,0.0511753
1.5125,0.0287979,0.0511753
14.0525,0.267559,0.0533076
16.4267,0.312763,0.042646
12.0908,0.230209,0.049043
10.3858,0.197746,0.042646
6.41667,0.122173,0.0234553
0.99,0.0188496,0.042646
0.0825,0.0015708,0.0618368
1.8425,0.0350811,0.0511753
1.98917,-0.0378736,0.0511753
3.245,0.0617847,0.0469106
2.57583,-0.0490438,0.0511753
2.90583,0.0553269,0.0469106
0.201667,0.00383972,0.0575722
2.19083,0.0417134,0.049043
1.82417,0.0347321,0.0533076
2.26417,-0.0431096,0.0511753
1.76,0.0335103,0.049043
1.815,-0.0345575,0.0575722
2.915,0.0555015,0.0533076
0.834167,0.0158825,0.0533076
0.605,-0.0115192,0.049043
1.43,0.0272271,0.0533076
0.935,-0.0178024,0.0533076
0.9625,0.018326,0.0469106
0.485833,0.00925025,0.0554399
0.476667,0.00907571,0.0533076
0.788333,0.0150098,0.0511753
0.33,0.00628319,0.049043
0.916667,0.0174533,0.0597045
0.44,0.00837758,0.0533076
0.650833,0.0123918,0.049043
1.1275,0.0214675,0.0554399
0.2475,-0.00471239,0.0554399
1.815,0.0345575,0.0554399
0.8525,0.0162316,0.0511753
0.284167,-0.00541052,0.0533076
0.586667,0.0111701,0.0554399
1.58583,0.0301942,0.0533076
5.81167,0.110654,0.0511753
6.47167,0.12322,0.049043
13.9058,0.264766,0.0554399
12.6225,0.240332,0.0533076
10.56,0.201062,0.0639691
11.9167,0.226893,0.0533076
15.5833,0.296706,0.0554399
8.61667,0.164061,0.049043
11.385,0.21677,0.0554399
9.8175,0.186925,0.0469106
7.6725,0.146084,0.0533076
0.825,-0.015708,0.0511753
0.825,-0.015708,0.0511753
3.52917,0.0671952,0.0575722
1.8425,0.0350811,0.0533076
4.07917,0.0776672,0.0511753
3.74917,-0.071384,0.0533076
3.74917,-0.071384,0.0533076
3.37333,0.0642281,0.0554399
1.57667,-0.0300197,0.0554399
2.13583,0.0406662,0.0575722
1.25583,-0.023911,0.0554399
1.50333,0.0286234,0.0533076
0.806667,0.0153589,0.0597045
2.86917,-0.0546288,0.0554399
0.5225,-0.00994838,0.0575722
0.458333,0.00872665,0.0554399
1.25583,-0.023911,0.0533076
1.53083,0.029147,0.0533076
1.21917,-0.0232129,0.0575722
0.944167,0.0179769,0.0554399
1.65917,0.0315905,0.0618368
1.65917,0.0315905,0.0618368
0.495,0.00942478,0.0575722
0.1925,-0.00366519,0.0575722
0.201667,0.00383972,0.0575722
0.669167,0.0127409,0.0597045
4.9225,0.0937242,0.0575722
7.29667,0.138928,0.0597045
14.9967,0.285536,0.0554399
10.9267,0.208043,0.0618368
12.1092,0.230558,0.049043
11.4492,0.217992,0.0682337
6.765,0.128805,0.0682337
2.08083,-0.039619,0.0597045
1.375,0.0261799,0.0618368
2.2275,0.0424115,0.0618368
2.3375,-0.0445059,0.042646
3.01583,0.0574213,0.0533076
1.045,0.0198968,0.0575722
2.04417,-0.0389208,0.0554399
3.245,0.0617847,0.0511753
1.88833,-0.0359538,0.0533076
3.29083,0.0626573,0.0533076
1.38417,-0.0263545,0.0554399
3.84083,-0.0731293,0.0554399
4.32667,0.0823795,0.0554399
1.7875,0.0340339,0.0554399
3.245,-0.0617847,0.0597045
3.22667,0.0614356,0.0618368
2.46583,-0.0469494,0.0618368
1.16417,0.0221657,0.0554399
0.825,0.015708,0.0511753
3.62083,-0.0689405,0.0234553
0.586667,-0.0111701,0
0.275,-0.00523599,0
2.0075,-0.0382227,0
0.155833,0.00296706,0.0319845
0.669167,-0.0127409,0.0341168
1.75083,0.0333358,0.0341168
0.146667,-0.00279253,0.0319845
0.843333,-0.016057,0.0319845
1.87,0.0356047,0.0298522
0.238333,0.00453786,0.0319845
1.65917,-0.0315905,0.0383814
1.2925,-0.0246091,0.0319845
0.641667,0.0122173,0.0319845
0.916667,0.0174533,0.0341168
2.26417,-0.0431096,0.0319845
0.806667,-0.0153589,0.0383814
3.19917,0.060912,0.0362491
0.055,-0.0010472,0.0319845
0.0825,-0.0015708,0.0383814
2.12667,0.0404916,0.0405137
0.944167,-0.0179769,0.0405137
1.77833,0.0338594,0.0383814
1.10917,-0.0211185,0.0383814
0.595833,0.0113446,0.0383814
1.35667,-0.0258309,0.0341168
1.35667,-0.0258309,0.0341168
0.623333,-0.0118682,0.0362491
1.7875,-0.0340339,0.0447783
2.57583,0.0490438,0.0447783
2.27333,-0.0432842,0.0383814
0.385,0.00733038,0.0405137
0.944167,0.0179769,0.0362491
0.5775,0.0109956,0.042646
2.95167,0.0561996,0.0405137
0.174167,0.00331613,0.0405137
3.41,0.0649262,0.0341168
1.4025,-0.0267035,0.042646
2.93333,0.0558505,0.0383814
0.284167,-0.00541052,0.0447783
2.92417,0.055676,0.0447783
2.92417,0.055676,0.0447783
1.79667,0.0342085,0.0405137
2.02583,-0.0385718,0.0405137
0.44,-0.00837758,0.049043
1.8975,-0.0361283,0.0383814
0.559167,0.0106465,0.042646
1.61333,-0.0307178,0.0383814
0.88,0.0167552,0.042646
1.41167,-0.0268781,0.0405137
0.128333,-0.00244346,0.042646
0.476667,-0.00907571,0.0405137
0,0,0.0469106
0.5225,-0.00994838,0.0447783
0.0183333,0.000349066,0.0469106
0.605,-0.0115192,0.0405137
0.403333,0.00767945,0.049043
0.889167,-0.0169297,0.042646
2.45667,0.0467748,0.049043
0.669167,-0.0127409,0.049043
1.2925,0.0246091,0.049043
1.63167,-0.0310669,0.049043
1.5675,0.0298451,0.042646
2.4475,0.0466003,0.0469106
12.705,0.241903,0.049043
9.91833,0.188845,0.0447783
4.77583,0.0909317,0.042646
2.1725,0.0413643,0.0511753
4.63833,0.0883137,0.0533076
3.51083,-0.0668461,0.0469106
4.07,0.0774926,0.049043
3.0525,-0.0581195,0.0533076
4.68417,0.0891863,0.0383814
2.52083,-0.0479966,0.0469106
2.29167,-0.0436332,0.0511753
0.650833,0.0123918,0.0533076
0.495,0.00942478,0.049043
3.86833,0.0736529,0.0533076
2.86,-0.0544543,0.0511753
2.3925,0.0455531,0.0533076
3.96,-0.0753982,0.049043
4.9775,0.0947714,0.0469106
4.33583,-0.0825541,0.0533076
1.705,0.0324631,0.049043
0.861667,-0.0164061,0.049043
0.614167,0.0116937,0.0469106
4.62917,0.0881391,0.049043
2.87833,-0.0548033,0.049043
4.08833,0.0778417,0.0533076
4.00583,-0.0762709,0.0533076
3.96917,0.0755728,0.049043
2.67667,-0.0509636,0.0533076
0.678333,-0.0129154,0.0533076
2.21833,-0.042237,0.0533076
3.70333,-0.0705113,0.0533076
3.96,0.0753982,0.049043
4.17083,-0.0794125,0.0533076
4.02417,0.07662,0.049043
1.76,-0.0335103,0.0447783
2.89667,0.0551524,0.049043
0.9075,0.0172788,0.0554399
3.50167,-0.0666716,0.0533076
2.64,0.0502655,0.0533076
2.76833,-0.0527089,0.049043
3.44667,0.0656244,0.0554399
1.80583,-0.034383,0.0533076
3.96917,0.0755728,0.0554399
3.08,0.0586431,0.0511753
1.41167,-0.0268781,0.0554399
3.70333,0.0705113,0.0554399
3.25417,-0.0619592,0.0554399
0.7975,-0.0151844,0.0533076
2.8325,0.0539307,0.0533076
2.3925,-0.0455531,0.0554399
2.98833,0.0568977,0.0469106
3.80417,-0.0724312,0.0554399
3.905,0.074351,0.0533076
3.66667,-0.0698132,0.0554399
3.7675,-0.071733,0.0597045
2.34667,0.0446804,0.0597045
4.83083,-0.0919789,0.0618368
2.97,0.0565487,0.0533076
3.2175,-0.0612611,0.0533076
4.05167,-0.0771436,0.0575722
2.2275,0.0424115,0.0575722
0.861667,-0.0164061,0.0554399
4.38167,0.0834267,0.0533076
1.815,-0.0345575,0.0554399
1.265,-0.0240855,0.0597045
0.715,0.0136136,0.0533076
3.62083,-0.0689405,0.0554399
4.33583,0.0825541,0.0511753
2.54833,0.0485202,0.0554399
2.9975,-0.0570723,0.0554399
3.15333,0.0600393,0.0554399
2.92417,-0.055676,0.0554399
1.71417,-0.0326377,0.0575722
1.375,-0.0261799,0.0575722
4.44583,-0.0846485,0.0533076
3.26333,0.0621337,0.0511753
4.675,-0.0890118,0.0575722
2.26417,-0.0431096,0.0575722
2.23667,0.042586,0.0575722
3.85917,-0.0734784,0.0575722
2.40167,0.0457276,0.0533076
0.953333,0.0181514,0.0575722
3.95083,-0.0752237,0.0554399
2.73167,0.0520108,0.0575722
2.31,-0.0439823,0.0533076
5.68333,0.10821,0.0554399
0.66,0.0125664,0.0554399
2.57583,-0.0490438,0.0554399
3.85,0.0733038,0.0511753
2.12667,-0.0404916,0.0554399
2.26417,-0.0431096,0.0597045
1.265,0.0240855,0.0554399
3.11667,-0.0593412,0.0575722
2.71333,0.0516617,0.0575722
2.71333,0.0516617,0.0575722
1.65917,0.0315905,0.0511753
3.92333,0.0747001,0.0597045
2.79583,-0.0532325,0.0554399
0.806667,-0.0153589,0.0618368
0.2475,0.00471239,0.0575722
3.75833,-0.0715585,0.0597045
3.75833,-0.0715585,0.0597045
2.41083,-0.0459022,0.0554399
2.97,-0.0565487,0.0618368
3.2175,0.0612611,0.0533076
3.56583,-0.0678933,0.0597045
0.861667,0.0164061,0.0597045
4.14333,0.0788889,0.0554399
3.52917,-0.0671952,0.0597045
2.23667,-0.042586,0.0639691
0.623333,-0.0118682,0.0511753
3.135,-0.0596903,0.0597045
0.6875,0.01309,0.0554399
0.6875,0.01309,0.0554399
0.788333,-0.0150098,0.0639691
4.4,0.0837758,0.0533076
2.20917,-0.0420624,0.0575722
2.7775,-0.0528835,0.0597045
3.96917,0.0755728,0.0575722
3.80417,-0.0724312,0.0597045
1.22833,0.0233874,0.0533076
1.7325,0.0329867,0.0597045
1.7325,0.0329867,0.0597045
3.7675,-0.071733,0.0597045
3.9325,-0.0748746,0.0575722
2.79583,-0.0532325,0.0618368
2.13583,0.0406662,0.0597045
2.805,-0.0534071,0.0575722
2.54833,0.0485202,0.0533076
0.339167,-0.00645772,0.0597045
3.61167,-0.068766,0.0575722
2.53917,0.0483456,0.0554399
4.16167,0.0792379,0.0597045
3.03417,-0.0577704,0.0639691
3.03417,-0.0577704,0.0639691
3.72167,-0.0708604,0.0597045
3.77667,0.0719076,0.0554399
1.6775,0.0319395,0.0597045
2.8875,-0.0549779,0.0639691
0.128333,-0.00244346,0.0597045
2.96083,-0.0563741,0.0575722
2.96083,-0.0563741,0.0682337
1.87917,0.0357792,0.0554399
2.1725,0.0413643,0.0597045
3.11667,-0.0593412,0.0661014
2.9975,0.0570723,0.0554399
0.320833,-0.00610865,0.0575722
0.320833,-0.00610865,0.0575722
2.51167,0.047822,0.0597045
1.80583,-0.034383,0.0618368
1.155,0.0219911,0.0575722
3.4375,0.0654498,0.0575722
4.19833,-0.0799361,0.0597045
2.37417,0.045204,0.0554399
3.245,0.0617847,0.0618368
3.3,-0.0628319,0.0597045
3.355,0.0638791,0.0575722
1.46667,0.0279253,0.0618368
2.1175,-0.0403171,0.0661014
4.02417,0.07662,0.0554399
0.8525,-0.0162316,0.0575722
0.614167,0.0116937,0.0575722
1.1275,-0.0214675,0.0597045
0.476667,-0.00907571,0.0533076
1.55833,0.0296706,0.0682337
4.29917,0.0818559,0.0597045
2.13583,-0.0406662,0.0597045
3.48333,0.0663225,0.0554399
1.4575,0.0277507,0.0618368
2.79583,-0.0532325,0.0597045
3.7675,0.071733,0.0554399
3.94167,-0.0750492,0.0597045
2.9975,0.0570723,0.0575722
1.27417,0.0242601,0.0597045
2.26417,-0.0431096,0.0618368
2.08083,0.039619,0.0575722
0.430833,-0.00820305,0.0618368
2.04417,-0.0389208,0.0575722
0.055,0.0010472,0.0597045
0.751667,-0.0143117,0.0575722
1.0175,-0.0193732,0.0597045
1.87917,0.0357792,0.0533076
2.2825,-0.0434587,0.0554399
0.916667,0.0174533,0.0554399
4.17083,0.0794125,0.0575722
2.95167,-0.0561996,0.0575722
1.33833,-0.0254818,0.0575722
3.56583,0.0678933,0.0597045
2.74083,-0.0521853,0.0597045
4.16167,0.0792379,0.0554399
3.00667,0.0572468,0.0554399
2.43833,-0.0464258,0.0661014
1.08167,0.0205949,0.0575722
1.99833,0.0380482,0.0575722
1.85167,-0.0352557,0.0639691
3.18083,0.0605629,0.0533076
0.5775,-0.0109956,0.0554399
4.35417,-0.0829031,0.0597045
3.45583,0.0657989,0.0533076
2.07167,-0.0394444,0.0575722
1.595,0.0303687,0.0575722
1.43,-0.0272271,0.0533076
3.66667,-0.0698132,0.0597045
4.0425,0.076969,0.0533076
2.38333,0.0453786,0.0597045
2.38333,-0.0453786,0.0618368
4.49167,0.0855211,0.0618368
0.513333,0.00977384,0.0575722
0.513333,0.00977384,0.0575722
4.03333,0.0767945,0.0639691
3.00667,-0.0572468,0.0661014
1.06333,-0.0202458,0.0597045
2.09,0.0397935,0.0597045
3.09833,-0.0589921,0.0639691
0.055,-0.0010472,0.0618368
1.49417,0.0284489,0.0575722
2.42,-0.0460767,0.0575722
2.01667,0.0383972,0.0575722
0.348333,-0.00663225,0.0575722
0.421667,0.00802851,0.0597045
3.72167,0.0708604,0.0554399
2.89667,-0.0551524,0.0575722
2.5025,0.0476475,0.0533076
0.284167,0.00541052,0.0597045
0.861667,0.0164061,0.0597045
2.2275,-0.0424115,0.0597045
2.16333,0.0411898,0.0597045
2.09917,-0.039968,0.0554399
2.05333,-0.0390954,0.0597045
2.02583,0.0385718,0.0618368
3.92333,-0.0747001,0.0597045
0.678333,-0.0129154,0.0618368
0.88,0.0167552,0.0597045
4.32667,-0.0823795,0.0618368
1.1275,0.0214675,0.0597045
0.641667,-0.0122173,0.0597045
1.11833,0.021293,0.0575722
4.565,0.0869174,0.0618368
0.559167,0.0106465,0.0554399
2.54833,0.0485202,0.0575722
4.3175,0.082205,0.0597045
3.58417,-0.0682424,0.0511753
1.75083,-0.0333358,0.0639691
2.75,0.0523599,0.0639691
2.86,-0.0544543,0.0554399
1.68667,-0.0321141,0.0639691
1.32,0.0251327,0.0618368
1.50333,-0.0286234,0.0554399
3.72167,0.0708604,0.0575722
0.650833,-0.0123918,0.0618368
3.355,-0.0638791,0.0618368
3.30917,0.0630064,0.0618368
2.10833,0.0401426,0.0575722
2.74083,-0.0521853,0.0639691
1.4025,0.0267035,0.0554399
1.16417,0.0221657,0.0597045
1.16417,0.0221657,0.0597045
2.64917,0.05044,0.0575722
4.3725,-0.0832522,0.0575722
0.183333,0.00349066,0.0533076
0.0825,0.0015708,0.0554399
0.348333,0.00663225,0.0191907
10.3492,0.197048,0.0149261
7.98417,0.152018,0.0127938
7.21417,0.137357,0.0170584
10.1108,0.19251,0.0170584
9.82667,0.187099,0.0298522
7.6725,0.146084,0.042646
6.74667,0.128456,0.0575722
1.22833,-0.0233874,0.042646
7.425,0.141372,0.0447783
4.17083,0.0794125,0.0447783
1.5675,0.0298451,0.0469106
6.56333,0.124966,0.049043
1.11833,0.021293,0.049043
5.98583,0.11397,0.0447783
4.7025,0.0895354,0.0469106
2.32833,0.0443314,0.0469106
5.6925,0.108385,0.0511753
2.32833,0.0443314,0.0511753
3.3,0.0628319,0.0447783
5.64667,0.107512,0.049043
0.3575,-0.00680678,0.0469106
6.27,0.119381,0.0447783
2.13583,0.0406662,0.0511753
2.89667,0.0551524,0.0469106
5.24333,0.0998328,0.0511753
3.47417,0.066148,0.049043
5.38083,0.102451,0.0511753
5.5,0.10472,0.0469106
1.42083,0.0270526,0.0511753
2.48417,0.0472984,0.049043
5.48167,0.104371,0.0554399
0,0,0.0511753
6.215,0.118333,0.049043
0.825,-0.015708,0.0511753
3.95083,0.0752237,0.049043
3.09833,0.0589921,0.0533076
2.86,0.0544543,0.0533076
4.52833,0.0862193,0.0511753
4.25333,0.0809833,0.049043
1.66833,0.031765,0.049043
6.55417,0.124791,0.0511753
0.0275,-0.000523599,0.0511753
1.2375,0.0235619,0.0511753
3.75833,0.0715585,0.0597045
1.83333,0.0349066,0.0533076
0.284167,-0.00541052,0.0575722
5.61,0.106814,0.0511753
0.165,0.00314159,0.0575722
4.76667,0.0907571,0.049043
1.24667,0.0237365,0.0554399
2.02583,0.0385718,0.0533076
5.46333,0.104022,0.0682337
1.5675,0.0298451,0.0554399
0.7425,0.0141372,0.0618368
4.44583,0.0846485,0.0447783
0.4125,-0.00785398,0.0533076
0.0183333,-0.000349066,0.0511753
2.53917,0.0483456,0.0511753
0.0825,0.0015708,0.0511753
5.26167,0.100182,0.0554399
1.74167,0.0331613,0.0533076
1.0175,-0.0193732,0.0533076
2.86917,0.0546288,0.0554399
1.27417,0.0242601,0.0533076
0.055,0.0010472,0.0554399
4.11583,0.0783653,0.0533076
2.0075,0.0382227,0.0575722
0.8525,0.0162316,0.0511753
2.75,0.0523599,0.0533076
1.28333,0.0244346,0.0554399
0.0458333,-0.000872665,0.0533076
3.52,0.0670206,0.0533076
1.14583,0.0218166,0.0575722
0.165,-0.00314159,0.0554399
5.04167,0.0959931,0.0511753
0.696667,-0.0132645,0.0575722
1.06333,0.0202458,0.0554399
1.57667,0.0300197,0.0554399
0.33,0.00628319,0.0575722
1.03583,0.0197222,0.0575722
2.19083,0.0417134,0.0575722
0.293333,0.00558505,0.0533076
4.25333,0.0809833,0.0554399
3.94167,0.0750492,0.0554399
1.63167,-0.0310669,0.0597045
3.5475,0.0675442,0.0533076
0.100833,0.00191986,0.0575722
0.0733333,0.00139626,0.0554399
1.8425,0.0350811,0.0597045
1.03583,0.0197222,0.0597045
1.0725,0.0204204,0.0554399
2.585,0.0492183,0.0597045
0.678333,0.0129154,0.0554399
0.3575,-0.00680678,0.0575722
3.2175,0.0612611,0.0575722
2.1725,0.0413643,0.0575722
2.2825,0.0434587,0.0597045
3.56583,0.0678933,0.0533076
0.705833,-0.013439,0.0533076
3.62083,0.0689405,0.0533076
2.8325,0.0539307,0.0554399
2.8325,0.0539307,0.0554399
3.69417,0.0703368,0.0533076
1.06333,0.0202458,0.0597045
1.06333,0.0202458,0.0597045
1.57667,0.0300197,0.0575722
